"datetime","bsadf_btc","bsadf_eth","bsadf_ltc"
"2017-05-29 23:59:59",1.19558975900176,3.34025725149268,1.3491851844427
"2017-05-30 23:59:59",1.49167449088837,3.26786013347341,1.44491352831462
"2017-05-31 23:59:59",1.67490849475544,3.05497449885449,1.74360830854276
"2017-06-01 23:59:59",1.79535974883567,3.02003783763574,1.7873844663605
"2017-06-02 23:59:59",1.85238280381664,2.96764447978842,1.62848356094831
"2017-06-03 23:59:59",1.79841089736349,3.16659943677633,1.6236006505628
"2017-06-04 23:59:59",2.06682939982877,3.11467060299464,1.88096115691191
"2017-06-06 23:29:54",2.35071387968741,3.24004642230316,1.86190347353755
"2017-06-06 23:59:59",1.91555698921879,3.05176491079027,1.60067899518604
"2017-06-08 23:39:20",2.06743037319773,3.03347532293505,1.74554593591717
"2017-06-08 23:59:59",2.00876090851808,3.17623239285322,1.65125188164904
"2017-06-09 23:59:59",2.17308857343481,3.59883407468904,1.67100605538858
"2017-06-10 23:59:59",2.25691540570443,3.5477098200773,1.94375681458568
"2017-06-11 23:59:59",1.61153459638959,3.90061981083988,1.47493108211872
"2017-06-12 23:59:59",1.63762779867957,3.74136383718472,1.55465277545913
"2017-06-13 23:59:59",1.20292416303643,3.28674027990015,1.53380243127602
"2017-06-14 23:59:59",1.08597277871703,3.20669731086482,1.49393938238453
"2017-06-15 23:59:59",1.17234279443744,3.23449839992436,1.89257226460595
"2017-06-16 23:59:59",1.3991279095728,3.2746133471038,2.65688678103587
